1_F.3d_87.in.txt      gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.35
34_F.3d_834.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
34_F.3d_1013.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
34_F.3d_1024.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
34_F.3d_1508.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
35_F.3d_273.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.55, accuracy=0.45; gemini-1.5 stability=0.75, accuracy=0.75
35_F.3d_365.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
35_F.3d_835.in.txt    gpt-4o stability=0.65, accuracy=0.35; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.10
35_F.3d_1081.in.txt   gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.80
35_F.3d_1118.in.txt   gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=0.75, accuracy=0.75; gemini-1.5 stability=1.00, accuracy=1.00
35_F.3d_1192.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.15
35_F.3d_1428.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
36_F.3d_594.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.65, accuracy=0.35; gemini-1.5 stability=0.90, accuracy=0.10
36_F.3d_893.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
36_F.3d_978.in.txt    gpt-4o stability=0.70, accuracy=0.30; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
36_F.3d_1298.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
36_F.3d_1385.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
36_F.3d_1480.in.txt   gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=0.80, accuracy=0.80; gemini-1.5 stability=0.90, accuracy=0.90
37_F.3d_63.in.txt     gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
37_F.3d_166.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
37_F.3d_257.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=0.85, accuracy=0.85; gemini-1.5 stability=0.55, accuracy=0.55
37_F.3d_321.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
37_F.3d_371.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
37_F.3d_404.in.txt    gpt-4o stability=0.50, accuracy=0.50; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
37_F.3d_423.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
37_F.3d_442.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
37_F.3d_531.in.txt    gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
37_F.3d_603.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
37_F.3d_700.in.txt    gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
37_F.3d_858.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=0.60, accuracy=0.40; gemini-1.5 stability=0.50, accuracy=0.50
37_F.3d_1069.in.txt   gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.50, accuracy=0.50
37_F.3d_1274.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.55
37_F.3d_1302.in.txt   gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
38_F.3d_86.in.txt     gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
38_F.3d_118.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
38_F.3d_183.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.10
38_F.3d_198.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
38_F.3d_394.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
38_F.3d_428.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
38_F.3d_675.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
38_F.3d_747.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.90
38_F.3d_776.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
38_F.3d_909.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.60, accuracy=0.40
38_F.3d_981.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.65
38_F.3d_1103.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=0.85, accuracy=0.15; gemini-1.5 stability=0.85, accuracy=0.15
38_F.3d_1478.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
38_F.3d_1514.in.txt   gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
39_F.3d_74.in.txt     gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.35
39_F.3d_312.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.10
39_F.3d_868.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.10
39_F.3d_873.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=0.80, accuracy=0.80; gemini-1.5 stability=0.75, accuracy=0.25
39_F.3d_912.in.txt    gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.65
39_F.3d_940.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.85
39_F.3d_1002.in.txt   gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=0.70, accuracy=0.70; gemini-1.5 stability=0.95, accuracy=0.05
39_F.3d_1039.in.txt   gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.75
39_F.3d_1049.in.txt   gpt-4o stability=0.80, accuracy=0.20; claude-3.5 stability=0.90, accuracy=0.10; gemini-1.5 stability=0.50, accuracy=0.50
39_F.3d_1078.in.txt   gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.65
40_F.3d_112.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
40_F.3d_442.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
40_F.3d_669.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
40_F.3d_926.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
40_F.3d_936.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
40_F.3d_959.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
40_F.3d_976.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
40_F.3d_990.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
40_F.3d_1139.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
40_F.3d_1546.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
41_F.3d_47.in.txt     gpt-4o stability=0.55, accuracy=0.55; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.95
41_F.3d_327.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
41_F.3d_361.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
41_F.3d_480.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
41_F.3d_562.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.60, accuracy=0.40
41_F.3d_1073.in.txt   gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
41_F.3d_1300.in.txt   gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.55
42_F.3d_414.in.txt    gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.55, accuracy=0.55
42_F.3d_533.in.txt    gpt-4o stability=0.60, accuracy=0.40; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.80
42_F.3d_546.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.75
42_F.3d_725.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.95
42_F.3d_1472.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.55, accuracy=0.45; gemini-1.5 stability=0.95, accuracy=0.95
43_F.3d_265.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
43_F.3d_574.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.80
43_F.3d_637.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
43_F.3d_1034.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
43_F.3d_1100.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
43_F.3d_1244.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
43_F.3d_1251.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
44_F.3d_148.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
44_F.3d_388.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.75
44_F.3d_410.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
44_F.3d_605.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
44_F.3d_619.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.10
44_F.3d_692.in.txt    gpt-4o stability=0.70, accuracy=0.30; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.90
44_F.3d_826.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=0.75, accuracy=0.75; gemini-1.5 stability=0.70, accuracy=0.30
44_F.3d_1082.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
44_F.3d_1091.in.txt   gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.15
44_F.3d_1387.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
44_F.3d_1441.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
45_F.3d_128.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
45_F.3d_238.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.65
45_F.3d_250.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.10
45_F.3d_262.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
45_F.3d_458.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=0.60, accuracy=0.60; gemini-1.5 stability=1.00, accuracy=1.00
45_F.3d_469.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.80
45_F.3d_830.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
45_F.3d_837.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.70, accuracy=0.70; gemini-1.5 stability=0.80, accuracy=0.20
45_F.3d_876.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=0.65, accuracy=0.65; gemini-1.5 stability=0.65, accuracy=0.35
45_F.3d_1011.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
45_F.3d_1197.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
45_F.3d_1345.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
45_F.3d_1355.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
45_F.3d_1534.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
45_F.3d_1569.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
46_F.3d_73.in.txt     gpt-4o stability=0.75, accuracy=0.25; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
46_F.3d_170.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
46_F.3d_239.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.65
46_F.3d_279.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
46_F.3d_560.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
46_F.3d_902.in.txt    gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=0.60, accuracy=0.60; gemini-1.5 stability=1.00, accuracy=0.00
46_F.3d_1064.in.txt   gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=0.60, accuracy=0.60; gemini-1.5 stability=1.00, accuracy=1.00
46_F.3d_1173.in.txt   gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.15
46_F.3d_1336.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
46_F.3d_1427.in.txt   gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
46_F.3d_1573.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.25
47_F.3d_188.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
47_F.3d_336.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
47_F.3d_356.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
47_F.3d_681.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
47_F.3d_865.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
47_F.3d_1078.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
47_F.3d_1489.in.txt   gpt-4o stability=0.55, accuracy=0.45; claude-3.5 stability=0.80, accuracy=0.80; gemini-1.5 stability=0.90, accuracy=0.10
47_F.3d_1499.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.60, accuracy=0.60
48_F.3d_331.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
48_F.3d_412.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.30
48_F.3d_456.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.20
48_F.3d_610.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.30
48_F.3d_784.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.50, accuracy=0.50
48_F.3d_800.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.25
48_F.3d_944.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.15
48_F.3d_1051.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
49_F.3d_75.in.txt     gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
49_F.3d_121.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.55
49_F.3d_152.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=0.70, accuracy=0.70; gemini-1.5 stability=0.90, accuracy=0.90
49_F.3d_189.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
49_F.3d_253.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
49_F.3d_518.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
49_F.3d_541.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.60, accuracy=0.60
49_F.3d_586.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.80
49_F.3d_628.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=0.75, accuracy=0.25; gemini-1.5 stability=0.85, accuracy=0.85
49_F.3d_636.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=0.85, accuracy=0.85; gemini-1.5 stability=1.00, accuracy=1.00
49_F.3d_869.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
49_F.3d_1074.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
49_F.3d_1423.in.txt   gpt-4o stability=0.65, accuracy=0.35; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
49_F.3d_1566.in.txt   gpt-4o stability=0.70, accuracy=0.30; claude-3.5 stability=0.85, accuracy=0.15; gemini-1.5 stability=0.80, accuracy=0.20
50_F.3d_151.in.txt    gpt-4o stability=0.70, accuracy=0.30; claude-3.5 stability=0.95, accuracy=0.05; gemini-1.5 stability=0.90, accuracy=0.10
50_F.3d_180.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.60, accuracy=0.40
50_F.3d_633.in.txt    gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=0.75, accuracy=0.75; gemini-1.5 stability=1.00, accuracy=1.00
50_F.3d_705.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=0.90, accuracy=0.10; gemini-1.5 stability=0.80, accuracy=0.80
50_F.3d_990.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
50_F.3d_994.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.60, accuracy=0.60
50_F.3d_1097.in.txt   gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=0.85, accuracy=0.15; gemini-1.5 stability=0.60, accuracy=0.40
50_F.3d_1226.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
50_F.3d_1291.in.txt   gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
50_F.3d_1379.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
50_F.3d_1395.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
50_F.3d_1464.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
51_F.3d_553.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
51_F.3d_793.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.80
